,Title,Link,Authors
0,Synthesis of Itaconic Acid Ester Analogues via Self-Aldol Condensation of Ethyl Pyruvate Catalyzed by Hafnium BEA Zeolites,https://pubs.acs.org/doi/10.1021/acscatal.6b00561,"Yuran Wang,Jennifer D. Lewis,Yuriy Román-Leshkov"
1,Alkyl–Aryl Coupling Catalyzed by Tandem Systems of Pincer-Ligated Iridium Complexes and Zeolites,https://pubs.acs.org/doi/10.1021/acscatal.6b00149,"Long V. Dinh,Bo Li,Akshai Kumar,William Schinski,Kathleen D. Field,Alexander Kuperman,Fuat E. Celik,Alan S. Goldman"
2,Simultaneous Reduction of CO,https://pubs.acs.org/doi/10.1021/acscatal.6b00543,"Natalia Morlanés,Kazuhiro Takanabe,Valentin Rodionov"
3,Cobalt Catalysts Decorated with Platinum Atoms Supported on Barium Zirconate Provide Enhanced Activity and Selectivity for CO,https://pubs.acs.org/doi/10.1021/acscatal.6b00005,"Hyun Ho Shin,Li Lu,Zhou Yang,Christopher J. Kiely,Steven McIntosh"
4,Cu–Sn Bimetallic Catalyst for Selective Aqueous Electroreduction of CO,https://pubs.acs.org/doi/10.1021/acscatal.6b00269,"Saad Sarfraz,Angel T. Garcia-Esparza,Abdesslem Jedidi,Luigi Cavallo,Kazuhiro Takanabe"
5,Cu Model Catalyst Dynamics and CO Oxidation Kinetics Studied by Simultaneous in Situ UV–Vis and Mass Spectroscopy,https://pubs.acs.org/doi/10.1021/acscatal.5b02861,"Yibin Bu,J. W. Hans Niemantsverdriet,Hans O. A. Fredriksson"
6,DFT Insights into the Competitive Adsorption of Sulfur- and Nitrogen-Containing Compounds and Hydrocarbons on Co-Promoted Molybdenum Sulfide Catalysts,https://pubs.acs.org/doi/10.1021/acscatal.6b00058,"Srinivas Rangarajan,Manos Mavrikakis"
7,Proton Transfer Mechanism of Organocatalyzed Isomerization of Alkynoates into Allenoates: Enantioselectivity and Reversibility. A DFT Study,https://pubs.acs.org/doi/10.1021/acscatal.6b00038,"Hongyan Xiao,Yusuke Kobayashi,Yoshiji Takemoto,Keiji Morokuma"
8,Disentangling Catalytic Activity at Terrace and Step Sites on Selectively Ru-Modified Well-Ordered Pt Surfaces Probed by CO Electro-oxidation,https://pubs.acs.org/doi/10.1021/acscatal.6b00439,"Manuel J. S. Farias,William Cheuquepan,Giuseppe A. Camara,Juan M. Feliu"
9,Effect of Support and Promoter on Activity and Selectivity of Gold Nanoparticles in Propanol Synthesis from CO,https://pubs.acs.org/doi/10.1021/acscatal.6b00590,"Sardor A. Mavlyankariev,Stefan J. Ahlers,Vita. A. Kondratenko,David Linke,Evgenii V. Kondratenko"
